sketcher,refiner,load_dir,gcd,finetune,baseline,use_backup,f1,executable_f1,backup_f1_executable,backup_f1_non_executable,executable_rate
gpt-3.5-turbo,gpt-3.5-turbo,outputs/outputs_3,False,False,False,False,0.21186306262827354,0.2231540420566605,0.36332431757345496,0.3091101244485219,0.8953333333333333
gpt-4o,gpt-4o,outputs/outputs_1,False,False,False,True,0.5031145684794421,0.482817851620711,0.7263807988386969,0.7219525500775502,0.9252835223482322
gpt-4o,gpt-4o,outputs/outputs_2,False,False,False,True,0.5031145684794421,0.482817851620711,0.7263807988386969,0.7219525500775502,0.9252835223482322
gpt-4o,gpt-4o,outputs/outputs_3,False,False,False,True,0.5030140018915831,0.48214990207876174,0.7266432045918032,0.7209846001608017,0.9233333333333333
gpt-4o,gpt-4o,outputs/outputs_1,False,False,False,False,0.4626773560995896,0.482817851620711,0.7263807988386969,0.7219525500775502,0.9252835223482322
gpt-4o,gpt-4o,outputs/outputs_2,False,False,False,False,0.4626773560995896,0.482817851620711,0.7263807988386969,0.7219525500775502,0.9252835223482322
gpt-4o,gpt-4o,outputs/outputs_3,False,False,False,False,0.4615465279280247,0.48214990207876174,0.7266432045918032,0.7209846001608017,0.9233333333333333
gpt-3.5-turbo,gpt-3.5-turbo,outputs/outputs_1,False,False,LogicLM (GPT-3.5-Turbo + GPT-3.5-Turbo),True,0.355825956635964,0.3333333333333333,0.16666666666666666,0.3581456553468007,0.004002668445630421
gpt-3.5-turbo,gpt-3.5-turbo,outputs/outputs_1,False,False,LogicLM (GPT-3.5-Turbo + GPT-3.5-Turbo),False,0.003955111988850653,0.3333333333333333,0.16666666666666666,0.3581456553468007,0.004002668445630421
gpt-3.5-turbo,gpt-3.5-turbo,outputs/outputs_1,False,False,CoT(GPT-3.5-Turbo),False,0.3577210348777903,,,,
gpt-4o,gpt-4o,outputs/outputs_1,False,False,CoT(GPT-4o),False,0.7263026921355336,,,,
gpt-3.5-turbo,gpt-3.5-turbo,outputs/outputs_2,False,False,CoT(GPT-3.5-Turbo),False,0.3577210348777903,,,,
